DamageId,Id,TimePeriod,projectworkflowstageid,x,y
171710,85322,14,6,-7367302.011884108,2056976.0149862182
279842,85323,14,2,-7382476.3056326145,2077788.437888159
279846,85332,14,2,-7382425.766583796,2077444.9312889723
174211,85333,14,-1,-7382420.75720671,2077392.74318909
277644,85337,14,1,-7360199.8283715015,2089410.3482930162
133036,85339,14,2,-7360465.659315516,2089261.319149346
133051,85340,14,-1,-7360897.133661829,2089065.588057662
174214,85341,14,-1,-7382420.75720671,2077392.74318909
174201,85342,14,6,-7382412.853522859,2077514.124707224
191611,85343,14,2,-7383016.093843468,2070398.4068715614
219650,85345,14,2,-7383446.677633858,2076762.0401018546
279840,85346,14,6,-7382575.046020946,2077407.0509244502
184196,85354,14,1,-7269432.364607464,2073411.3630046542
182167,85355,14,-1,-7269422.123214311,2072914.5661464601
226836,85356,14,-1,-7269422.123214311,2072914.5661464601
133040,85359,14,2,-7361127.565007771,2089293.9411826904
135562,85361,14,2,-7363852.220864428,2088554.560499623
172861,85366,14,1,-7439702.538903695,2079131.3242752631
184194,85371,14,1,-7269599.67780212,2073764.6507706537
182084,85375,14,2,-7269590.215645407,2073649.8579547931
